time,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w
2022/08/16/12:40:19.258461,-0.001531446,0.000671407,0.000546203,-0.000334467,-5.25E-05,0.999999762
2022/08/16/12:40:19.358200,0.000707733,-0.000412926,0.000753794,-0.000280137,6.10E-05,0.999999642
2022/08/16/12:40:19.458175,0.002180975,0.001176942,0.001026678,-0.000147217,-3.29E-05,0.999999464
2022/08/16/12:40:19.558043,-0.000996123,-0.000207588,0.000580452,-0.00023523,1.20E-06,0.999999881
2022/08/16/12:40:19.658719,0.002516077,-0.000977333,0.000604553,-0.000493955,9.26E-05,0.999999762
2022/08/16/12:40:19.758616,-0.001240048,0.000608481,0.00134355,-1.18E-05,7.82E-05,0.999999166
2022/08/16/12:40:19.857635,0.004918516,-0.001191007,0.000781643,9.46E-05,0.000152253,0.999999762
2022/08/16/12:40:19.957669,0.004025978,-0.000459308,0.000832184,-0.000212215,0.000195154,0.999999702
2022/08/16/12:40:20.057659,0.000363519,-9.39E-05,0.000705227,-0.000292232,0.000101091,0.999999702
2022/08/16/12:40:20.157456,0.000311881,-1.20E-05,0.000624321,-0.000137324,4.47E-05,0.999999881
2022/08/16/12:40:20.257589,0.000597056,0.000415024,0.000849274,-0.00032449,3.02E-05,0.999999583
2022/08/16/12:40:20.358122,-0.001049272,0.000909379,0.001083067,-0.000230832,2.20E-05,0.999999404
2022/08/16/12:40:20.459267,-0.000922276,-8.57E-05,0.000824244,-0.000218684,5.39E-05,0.999999642
2022/08/16/12:40:20.558934,-0.001348118,3.53E-05,0.000535492,-0.000224695,-1.07E-05,0.999999881
2022/08/16/12:40:20.659228,0.000363461,-0.000153881,0.000780007,-0.000243809,6.64E-05,0.999999762
2022/08/16/12:40:20.759413,0.000798629,-0.001034919,0.000476001,-3.42E-05,0.000132549,0.999999881
2022/08/16/12:40:20.859179,0.003566212,-0.001357134,0.000528786,-0.000296671,0.000149494,0.999999821
2022/08/16/12:40:20.959457,-0.000106806,-0.000564194,0.00068215,-0.000221955,1.94E-05,0.999999821
2022/08/16/12:40:21.059516,0.003379248,-0.001371049,0.00077134,-0.000341667,0.000155085,0.999999702
2022/08/16/12:40:21.160251,-0.001802121,0.000466608,0.000788075,-0.000110545,-2.10E-06,0.999999762
2022/08/16/12:40:21.260341,0.001951057,0.000872698,0.000653376,-0.000649633,-2.63E-07,0.999999642
2022/08/16/12:40:21.360233,0.002492388,0.000529741,0.001058984,-4.73E-05,5.99E-05,0.999999523
2022/08/16/12:40:21.460361,0.00385598,7.61E-05,0.000908912,-0.00024191,0.000100863,0.999999642
2022/08/16/12:40:21.562253,0.001360105,-0.000412831,0.000686388,-0.000259125,0.000168857,0.999999702
2022/08/16/12:40:21.661873,0.000898495,0.001038647,0.001124725,-0.000100668,2.37E-05,0.999999404
2022/08/16/12:40:21.763283,0.002624113,-0.000507205,0.000522939,-0.000257502,0.000186386,0.999999881
2022/08/16/12:40:21.862019,-0.003035819,-4.63E-05,0.00061056,-0.000260041,1.23E-05,0.999999821
2022/08/16/12:40:21.962441,0.000523995,0.000906504,0.000778824,-0.000225454,9.68E-05,0.999999702
2022/08/16/12:40:22.062358,0.004742236,-0.000117524,0.000607053,-0.000264298,0.000142506,0.999999821
2022/08/16/12:40:22.162739,0.002225191,-0.000564359,0.000662065,-0.000242244,5.30E-05,0.999999821
2022/08/16/12:40:22.261762,0.005339862,-0.001674772,0.000812612,-0.000232887,0.000326274,0.999999642
2022/08/16/12:40:22.362046,-0.002000641,-0.000373163,0.000570593,-0.000399342,2.78E-06,0.999999821
2022/08/16/12:40:22.462023,0.002245975,-0.000315719,0.000763395,-0.000329141,9.28E-05,0.999999702
2022/08/16/12:40:22.562008,-0.001549906,0.000180064,0.000725381,-0.000215079,6.33E-05,0.999999762
2022/08/16/12:40:22.661849,0.005183335,-0.000127672,0.000771487,-0.000231763,0.000154731,0.999999702
2022/08/16/12:40:22.762852,-0.001277945,-5.96E-05,0.00073264,-0.000516792,4.72E-05,0.999999642
2022/08/16/12:40:22.862422,0.001742722,-0.000438266,0.000698125,-0.000255189,0.000169743,0.999999702
2022/08/16/12:40:22.960800,0.002658403,-0.000256484,0.000543525,-0.000275226,0.000108219,0.999999821
2022/08/16/12:40:23.060672,0.001479282,-0.001429606,0.000526055,-0.00010458,0.000146011,0.999999881
2022/08/16/12:40:23.160407,0.000745009,-0.000806736,0.000491688,-9.22E-05,5.30E-05,0.999999881
2022/08/16/12:40:23.260310,0.001689504,-0.00035965,0.000540678,-0.00024955,0.000156393,0.999999821
2022/08/16/12:40:23.359990,0.002011641,-0.00020942,0.000698129,-0.000463632,0.000147092,0.999999702
2022/08/16/12:40:23.458267,0.000205368,-0.000550842,0.000569876,-0.000251315,0.000114271,0.999999762
2022/08/16/12:40:23.558151,-0.000840353,0.000449914,0.000708626,-0.00025905,6.08E-05,0.999999762
2022/08/16/12:40:23.658187,-0.001510509,-0.000235228,0.000616473,-0.000253912,-1.78E-05,0.999999821
2022/08/16/12:40:23.758008,-0.000812246,0.001078403,0.000879592,4.24E-06,4.48E-05,0.999999642
2022/08/16/12:40:23.857683,-0.000125058,0.000411585,0.000613835,-0.000566275,-1.15E-05,0.999999702
2022/08/16/12:40:23.957902,-0.002621628,0.000200239,0.000590987,-0.000191416,1.11E-05,0.999999821
2022/08/16/12:40:24.058444,0.000998545,-0.000154444,0.000935368,-0.000187819,9.67E-05,0.999999583
