Time,ax,ay,AngleZ
 08:58:24.861,0.0034,-0.0098,-96.3666
 08:58:24.979,0.0049,0.0005,-96.4655
 08:58:25.061,0.0044,-0.0029,-96.5753
 08:58:25.189,0.0059,-0.0044,-96.6852
 08:58:25.268,0.002,0.0039,-96.7731
 08:58:25.364,0,-0.0083,-96.8555
 08:58:25.458,-0.0015,-0.0137,-96.9269
 08:58:25.565,0,-0.0078,-96.9928
 08:58:25.662,0.002,-0.0112,-97.0752
 08:58:25.787,0.0039,-0.0044,-97.1521
 08:58:25.870,0.0054,-0.0083,-97.218
 08:58:25.965,0.0093,-0.0078,-97.2949
 08:58:26.060,-0.0005,-0.0005,-97.3718
 08:58:26.170,0.0029,-0.0049,-97.4323
 08:58:26.264,0.002,0,-97.4927
 08:58:26.366,0.0024,0.0054,-97.5092
 08:58:26.459,0.002,-0.0044,-97.5092
 08:58:26.556,-0.0024,-0.0068,-97.4927
 08:58:26.661,-0.0024,-0.0049,-97.4762
 08:58:26.756,0.0059,-0.0039,-97.4707
 08:58:26.857,0.002,-0.0039,-97.4707
 08:58:26.957,0.0015,-0.0049,-97.4707
 08:58:27.058,0.0195,-0.0024,-97.4707
 08:58:27.169,0.0313,0.0024,-97.4707
 08:58:27.266,0.0181,-0.0088,-97.4707
 08:58:27.361,0.0176,-0.0015,-97.4707
 08:58:27.469,0.0156,0.002,-97.4707
 08:58:27.564,0.0171,-0.0103,-97.4707
 08:58:27.662,0.0088,-0.0029,-97.4707
 08:58:27.759,0.0068,0.0063,-97.4707
 08:58:27.859,0.0054,-0.0083,-97.4707
 08:58:27.954,0.0059,-0.0044,-97.4707
 08:58:28.066,-0.0073,-0.0024,-97.4707
 08:58:28.164,-0.0107,-0.001,-97.4707
 08:58:28.264,-0.0112,-0.0068,-97.4707
 08:58:28.362,-0.0137,-0.0054,-97.4707
 08:58:28.456,-0.0112,0,-97.4707
 08:58:28.556,-0.0088,-0.0049,-97.4707
 08:58:28.658,-0.0063,-0.001,-97.4707
 08:58:28.755,0.0054,0.0029,-97.4707
 08:58:28.862,0.0088,-0.0059,-97.4707
 08:58:28.964,0.0273,-0.0015,-97.4707
 08:58:29.085,0.0244,-0.0044,-97.4542
 08:58:29.150,0.0073,-0.0054,-97.4323
 08:58:29.261,-0.0068,-0.002,-97.4158
 08:58:29.358,-0.0093,-0.0059,-97.3938
 08:58:29.453,-0.0098,-0.0044,-97.3773
 08:58:29.550,0.0005,0.0063,-97.3608
 08:58:29.648,0.0049,-0.002,-97.3499
 08:58:29.762,0.0024,-0.0015,-97.3334
 08:58:29.855,0.001,0.0098,-97.3114
 08:58:29.952,0.0029,-0.001,-97.2949
 08:58:30.073,-0.0005,0,-97.2675
 08:58:30.153,0.0034,0.0049,-97.251
 08:58:30.247,0.0088,-0.0039,-97.2455
 08:58:30.355,0.0161,-0.002,-97.229
 08:58:30.450,0.0103,0.001,-97.2015
 08:58:30.560,0.0078,-0.001,-97.1851
 08:58:30.675,0.002,0.0005,-97.1686
 08:58:30.756,-0.0039,0.0015,-97.1356
